$X,$Y,$H,$SL1,$SL2,$SL3,$SL4,$WWR_S,$WWR_N,$WWR_E, $WWR_W,$ORI,$WALL_U,$WIN_U,$GFLOOR_U, $FLOOR_SH,$ROOF_U,$WIN_G,$ACH,$LHG,$EHG,$ChillerCOP,$BoilerEfficiency,$ChillerPumpTypeCat,$BoilerPumpTypeCat,$ChillerTypeCat,Peak: Ground Floor,Peak: Intermediate Floor,Peak: Top Floor,Mean: Ground Floor,Mean: Intermediate Floor,Mean: Top Floor,Peak: Boiler Energy,Mean: Boiler Energy,Total: Boiler Energy
75.3125,58.4375,4.734375,4.61015625,3.83046875,1.49140625,0.86765625,0.7590625,0.5828125,0.1715625,0.0246875,-151.875,0.053125,1.7890625,0.034375,1045.3125,0.061875,0.4375,0.2375,5.984375,14.765625,3.234375,0.8640625,1,0,0,67108.09181,65858.63843,87384.21781,2756.387953,1649.273836,2332.052434,281124.0726,10802.47909,94629716.87
60.3125,43.4375,3.984375,0.86765625,2.58296875,0.24390625,4.61015625,0.5240625,0.8178125,0.4065625,0.2596875,-61.875,0.043125,0.6640625,0.044375,1120.3125,0.051875,0.6375,0.4375,11.234375,11.015625,3.984375,0.7890625,0,1,0,29996.3189,21613.27699,23677.6192,1466.020794,817.2090814,1105.549733,129123.4947,2871.516629,25154485.67
30.3125,73.4375,5.484375,3.36265625,0.08796875,2.73890625,2.11515625,0.0540625,0.3478125,0.8765625,0.7296875,118.125,0.063125,1.4140625,0.064375,970.3125,0.031875,0.2375,0.8375,7.734375,13.515625,5.484375,0.9390625,1,0,1,99123.30019,92805.92615,92769.15555,9082.641025,6933.136416,7233.273179,295959.3727,30646.6716,268464843.2
34.0625,24.6875,3.796875,4.92203125,3.51859375,3.67453125,3.67453125,0.3478125,0.0540625,0.3478125,0.7884375,140.625,0.050625,0.5703125,0.036875,1176.5625,0.069375,0.7875,0.6875,10.796875,11.953125,3.046875,0.8078125,0,0,0,17063.35815,15286.33292,18147.76833,665.034413,452.819468,727.9685939,55494.80394,1785.016597,15636745.39
64.0625,54.6875,5.296875,2.42703125,1.02359375,1.17953125,1.17953125,0.8178125,0.5240625,0.8178125,0.3184375,-39.375,0.030625,1.3203125,0.056875,1026.5625,0.049375,0.3875,0.2875,7.296875,14.453125,4.546875,0.9578125,1,1,1,67991.78066,58653.97521,61925.27591,3738.533446,2107.600456,2428.261457,249004.0552,13141.90338,115123073.6
79.0625,39.6875,3.046875,3.67453125,2.27109375,2.42703125,4.92203125,0.5828125,0.7590625,0.5828125,0.0834375,-129.375,0.060625,0.9453125,0.066875,1101.5625,0.039375,0.5875,0.4875,9.046875,10.703125,5.296875,0.7328125,0,0,1,42067.49405,31557.81443,35714.96647,1516.031679,458.3224317,411.0699201,139498.7123,2986.73271,26163778.54
49.0625,69.6875,4.546875,1.17953125,4.76609375,4.92203125,2.42703125,0.1128125,0.2890625,0.1128125,0.5534375,50.625,0.040625,1.6953125,0.046875,951.5625,0.059375,0.1875,0.8875,5.546875,13.203125,3.796875,0.8828125,1,1,0,116413.4379,113149.6842,131079.3671,9418.140097,7549.964034,9822.705014,403434.1617,38653.28499,338602776.5
41.5625,47.1875,5.671875,0.55578125,4.14234375,3.05078125,4.29828125,0.7003125,0.8765625,0.9353125,0.2009375,5.625,0.065625,1.5078125,0.041875,914.0625,0.054375,0.2875,0.5875,11.671875,11.328125,3.421875,0.7703125,1,1,1,67071.5282,64521.03494,68464.69836,4522.226497,3612.38603,4358.105239,213122.3596,17333.59402,151842283.6
71.5625,77.1875,4.171875,3.05078125,1.64734375,0.55578125,1.80328125,0.2303125,0.4065625,0.4653125,0.6709375,-174.375,0.045625,0.7578125,0.061875,1064.0625,0.034375,0.6875,0.9875,8.171875,13.828125,4.921875,0.9203125,0,0,0,158573.5378,143456.3966,152946.3958,10132.54911,6672.008735,6960.650896,502027.4301,28521.58111,249849050.5
56.5625,32.1875,4.921875,1.80328125,0.39984375,1.80328125,3.05078125,0.4653125,0.1715625,0.2303125,0.9059375,-84.375,0.055625,1.8828125,0.051875,989.0625,0.044375,0.4875,0.7875,9.921875,10.078125,5.671875,0.8453125,1,1,0,68943.24072,66262.0043,72866.25559,5190.611894,4035.392466,4835.728745,225912.2086,19271.21936,168815881.6
26.5625,62.1875,3.421875,4.29828125,2.89484375,4.29828125,0.55578125,0.9353125,0.6415625,0.7003125,0.4359375,95.625,0.035625,1.1328125,0.031875,1139.0625,0.064375,0.8875,0.3875,6.421875,12.578125,4.171875,0.9953125,0,0,1,16551.52088,15467.98918,20885.65308,1968.354995,1352.773313,2044.100722,120056.1787,7817.581741,68482016.05
